,name,rank,year,rating
0,The Shawshank Redemption,1,1994,9.2
1,The Godfather,2,1972,9.2
2,The Dark Knight,3,2008,9.0
3,The Godfather Part II,4,1974,9.0
4,12 Angry Men,5,1957,9.0
5,Schindler's List,6,1993,8.9
6,The Lord of the Rings: The Return of the King,7,2003,8.9
7,Pulp Fiction,8,1994,8.8
8,The Lord of the Rings: The Fellowship of the Ring,9,2001,8.8
9,"The Good, the Bad and the Ugly",10,1966,8.8
10,Forrest Gump,11,1994,8.8
11,Fight Club,12,1999,8.7
12,The Lord of the Rings: The Two Towers,13,2002,8.7
13,Inception,14,2010,8.7
14,Star Wars: Episode V - The Empire Strikes Back,15,1980,8.7
15,The Matrix,16,1999,8.7
16,Goodfellas,17,1990,8.7
17,One Flew Over the Cuckoo's Nest,18,1975,8.6
18,Se7en,19,1995,8.6
19,Seven Samurai,20,1954,8.6
20,It's a Wonderful Life,21,1946,8.6
21,The Silence of the Lambs,22,1991,8.6
22,Saving Private Ryan,23,1998,8.6
23,City of God,24,2002,8.6
24,Interstellar,25,2014,8.6
25,Life Is Beautiful,26,1997,8.6
26,The Green Mile,27,1999,8.6
27,Star Wars,28,1977,8.5
28,Terminator 2: Judgment Day,29,1991,8.5
29,Back to the Future,30,1985,8.5
30,Spirited Away,31,2001,8.5
31,The Pianist,32,2002,8.5
32,Psycho,33,1960,8.5
33,Parasite,34,2019,8.5
34,Léon: The Professional,35,1994,8.5
35,The Lion King,36,1994,8.5
36,Gladiator,37,2000,8.5
37,American History X,38,1998,8.5
38,The Departed,39,2006,8.5
39,The Usual Suspects,40,1995,8.5
40,The Prestige,41,2006,8.5
41,Whiplash,42,2014,8.5
42,Casablanca,43,1942,8.5
43,Grave of the Fireflies,44,1988,8.5
44,Harakiri,45,1962,8.5
45,The Intouchables,46,2011,8.5
46,Modern Times,47,1936,8.4
47,Once Upon a Time in the West,48,1968,8.4
48,Cinema Paradiso,49,1988,8.4
49,Rear Window,50,1954,8.4
50,Alien,51,1979,8.4
51,City Lights,52,1931,8.4
52,Apocalypse Now,53,1979,8.4
53,Memento,54,2000,8.4
54,Django Unchained,55,2012,8.4
55,Raiders of the Lost Ark,56,1981,8.4
56,WALL·E,57,2008,8.4
57,The Lives of Others,58,2006,8.4
58,Sunset Blvd.,59,1950,8.4
59,Paths of Glory,60,1957,8.4
60,The Shining,61,1980,8.4
61,The Great Dictator,62,1940,8.4
62,Avengers: Infinity War,63,2018,8.4
63,Witness for the Prosecution,64,1957,8.4
64,Aliens,65,1986,8.3
65,Spider-Man: Into the Spider-Verse,66,2018,8.3
66,American Beauty,67,1999,8.3
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,68,1964,8.3
68,The Dark Knight Rises,69,2012,8.3
69,Oldboy,70,2003,8.3
70,Inglourious Basterds,71,2009,8.3
71,Amadeus,72,1984,8.3
72,Coco,73,2017,8.3
73,Toy Story,74,1995,8.3
74,Joker,75,2019,8.3
75,Braveheart,76,1995,8.3
76,Das Boot,77,1981,8.3
77,Avengers: Endgame,78,2019,8.3
78,Princess Mononoke,79,1997,8.3
79,Once Upon a Time in America,80,1984,8.3
80,Good Will Hunting,81,1997,8.3
81,Your Name.,82,2016,8.3
82,Singin' in the Rain,83,1952,8.3
83,3 Idiots,84,2009,8.3
84,Requiem for a Dream,85,2000,8.3
85,High and Low,86,1963,8.3
86,Toy Story 3,87,2010,8.3
87,Capernaum,88,2018,8.3
88,Star Wars: Episode VI - Return of the Jedi,89,1983,8.3
89,2001: A Space Odyssey,90,1968,8.3
90,Eternal Sunshine of the Spotless Mind,91,2004,8.3
91,Come and See,92,1985,8.3
92,Reservoir Dogs,93,1992,8.3
93,The Hunt,94,2012,8.3
94,Citizen Kane,95,1941,8.3
95,M,96,1931,8.2
96,Lawrence of Arabia,97,1962,8.2
97,North by Northwest,98,1959,8.2
98,Ikiru,99,1952,8.2
99,Vertigo,100,1958,8.2
100,The Apartment,101,1960,8.2
101,Amélie,102,2001,8.2
102,A Clockwork Orange,103,1971,8.2
103,Double Indemnity,104,1944,8.2
104,Full Metal Jacket,105,1987,8.2
105,Scarface,106,1983,8.2
106,Hamilton,107,2020,8.2
107,Incendies,108,2010,8.2
108,Heat,109,1995,8.2
109,To Kill a Mockingbird,110,1962,8.2
110,The Sting,111,1973,8.2
111,Up,112,2009,8.2
112,A Separation,113,2011,8.2
113,Metropolis,114,1927,8.2
114,Top Gun: Maverick,115,2022,8.2
115,Taxi Driver,116,1976,8.2
116,L.A. Confidential,117,1997,8.2
117,Die Hard,118,1988,8.2
118,Snatch,119,2000,8.2
119,Indiana Jones and the Last Crusade,120,1989,8.2
120,Bicycle Thieves,121,1948,8.2
121,Like Stars on Earth,122,2007,8.2
122,1917,123,2019,8.2
123,Downfall,124,2004,8.2
124,Dangal,125,2016,8.2
125,For a Few Dollars More,126,1965,8.2
126,Batman Begins,127,2005,8.2
127,The Kid,128,1921,8.2
128,Some Like It Hot,129,1959,8.2
129,The Father,130,2020,8.2
130,All About Eve,131,1950,8.2
131,The Wolf of Wall Street,132,2013,8.2
132,Green Book,133,2018,8.2
133,Judgment at Nuremberg,134,1961,8.2
134,Ran,135,1985,8.2
135,Casino,136,1995,8.2
136,The Truman Show,137,1998,8.2
137,Pan's Labyrinth,138,2006,8.2
138,There Will Be Blood,139,2007,8.2
139,Unforgiven,140,1992,8.2
140,The Sixth Sense,141,1999,8.2
141,Shutter Island,142,2010,8.2
142,A Beautiful Mind,143,2001,8.2
143,Jurassic Park,144,1993,8.1
144,Yojimbo,145,1961,8.1
145,The Treasure of the Sierra Madre,146,1948,8.1
146,Monty Python and the Holy Grail,147,1975,8.1
147,No Country for Old Men,148,2007,8.1
148,The Great Escape,149,1963,8.1
149,Kill Bill: Vol. 1,150,2003,8.1
150,Rashomon,151,1950,8.1
151,Spider-Man: No Way Home,152,2021,8.1
152,The Thing,153,1982,8.1
153,Finding Nemo,154,2003,8.1
154,The Elephant Man,155,1980,8.1
155,Chinatown,156,1974,8.1
156,Raging Bull,157,1980,8.1
157,V for Vendetta,158,2005,8.1
158,Gone with the Wind,159,1939,8.1
